id,num_of_pic,price,brand,model,title,year,km,steering_side,region_specs,location,location_cleaned
19469,18,330000,Mercedes-Benz,S-Class,MERCEDES BENZ S-400D MODEL 2021 4MATIC FULL OPTION,2021,42900,Left Hand,Japanese Specs,"Ras Al Khor, Dubai",Dubai
19470,18,175000,Mercedes-Benz,CLS 450,MERCEDES BENZ CLS-450 2018,2018,58000,Left Hand,Japanese Specs,"Ras Al Khor, Dubai",Dubai
19471,17,120000,Mercedes-Benz,S-Class,Benz S550 for Sale,2016,173780,Left Hand,European Specs,Dubai,Dubai
19472,9,320000,Mercedes-Benz,EQS,Mercedes EQS 580 | Perfect condition | Best price in UAE,2022,29813,Left Hand,American Specs,"Deira, Dubai",Dubai
19473,20,100000,Mercedes-Benz,E-Class Coupe,E400 Coupe|2018| VERY GOOD CONDITION| USA IMPORT| F.S.H IN UAE| AGENCY.E.M.C FILE OPEN REGISTE,2018,90270,Left Hand,American Specs,"Dubai Hills Estate, Dubai",Dubai
19474,19,710000,Mercedes-Benz,G-Class,MERCEDES BENZ G63 AMG MODEL 2022,2022,14000,Left Hand,Japanese Specs,"Ras Al Khor, Dubai",Dubai
19475,20,189000,Mercedes-Benz,CLA,"Mercedes-Benz CLA200 AMG | with HUD, 5 Years Warranty, 3 Years Service Contract, 2023",2023,0,Left Hand,European Specs,"Ras Al Khor, Dubai",Dubai
19476,20,459000,Mercedes-Benz,GLE-Class,"Mercedes-Benz GLE53 AMG SUV, 22 Alloy Wheels, Carbon Fiber, New Facelift | 4Matic+ | 2024",2024,0,Left Hand,European Specs,"Ras Al Khor, Dubai",Dubai
19477,18,425000,Mercedes-Benz,S-Class,MERCEDES BENZ S-CLASS.S 580 -4MATIC MODEL 2022,2022,18000,Left Hand,Japanese Specs,"Ras Al Khor, Dubai",Dubai
19478,18,330000,Mercedes-Benz,S-Class,MERCEDES BENZ S-400D MODEL 2021 4MATIC FULL OPTION,2021,42900,Left Hand,Japanese Specs,"Ras Al Khor, Dubai",Dubai
19479,18,175000,Mercedes-Benz,CLS 450,MERCEDES BENZ CLS-450 2018,2018,58000,Left Hand,Japanese Specs,"Ras Al Khor, Dubai",Dubai
19480,17,120000,Mercedes-Benz,S-Class,Benz S550 for Sale,2016,173780,Left Hand,European Specs,Dubai,Dubai
19481,9,320000,Mercedes-Benz,EQS,Mercedes EQS 580 | Perfect condition | Best price in UAE,2022,29813,Left Hand,American Specs,"Deira, Dubai",Dubai
19482,9,79000,Mercedes-Benz,GL-Class,2014 Mercedes-Benz GL500 4Matic 4.7L,2014,120000,Left Hand,GCC Specs,"The Lakes, Dubai",Dubai
19483,8,330000,Mercedes-Benz,EQS,Mercedes EQS 580 | Perfect condition | Best price in UAE,2022,30000,Left Hand,American Specs,"Al Garhoud, Dubai",Dubai
19484,11,46000,Mercedes-Benz,E-Class,E350 2010 UPGRADED TO 2023,2010,152000,Left Hand,American Specs,"Dubai International Airport, Dubai",Dubai
19485,9,24500,Mercedes-Benz,S-Class,For Sale: 2009 Mercedes-Benz with S63 201 Body Kit Upgrade*,2009,197284,Left Hand,GCC Specs,Abu Dhabi,Abu Dhabi
19486,12,25000,Mercedes-Benz,S-Class,Mercedes S 350 first owner extra clean car,2007,129000,Left Hand,Japanese Specs,"Al Awir, Dubai",Dubai
19487,9,680000,Mercedes-Benz,GLS-Class,2021 Mercedes Benz GLS600 / European Specification,2021,54700,Left Hand,European Specs,"Ras Al Khor, Dubai",Dubai
19488,17,219000,Mercedes-Benz,G-Class,MERCEDES G63 AMG PREMIUM EDITION 2015 GCC GARGASH LOW MILEAGE SINGLE OWNER IN MINT CONDITION,2015,121000,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
19489,8,263000,Mercedes-Benz,C-Class Coupe,Mercedes-Benz C200 CONVERTIBLE,2023,18394,Left Hand,GCC Specs,"Al Garhoud, Dubai",Dubai
19490,17,439000,Mercedes-Benz,S-Class,"2022 Mercedes S500(EQ) Long Wheel Base, FEB 2027 Mercedes Warranty, Life Time PPF Warranty, GCC",2022,16090,Left Hand,GCC Specs,"Dubai Marina, Dubai",Dubai
19491,19,364999,Mercedes-Benz,GT,2022 I MERCEDES GT 43 AMG I WARRANTY I LOW MILEAGE I IMMACULATE CAR I,2022,6953,Left Hand,Japanese Specs,"Al Quoz, Dubai",Dubai
19492,11,113000,Mercedes-Benz,E-Class,Mercedes-Benz E 300 | 2019 | 360 Camera | Full Option,2019,85000,Left Hand,American Specs,"Al Warqaa, Dubai",Dubai
19493,17,305000,Mercedes-Benz,E-Class,Clean Mercedes E 53,2021,26500,Left Hand,Other,"Al Wahdah, Abu Dhabi",Abu Dhabi
19494,18,42000,Mercedes-Benz,A-Class,Mercedes-Benz In immaculate condition,2016,175000,Left Hand,GCC Specs,"Al Warqaa, Dubai",Dubai
19495,12,145000,Mercedes-Benz,GLB,Mercedes GLB250-4Matic AMG kit- Under warranty,2023,15000,Left Hand,American Specs,Dubai,Dubai
19496,14,850000,Mercedes-Benz,G-Class,2011 MERCEDES G500 ( Convertible ) GCC,2011,56000,Left Hand,GCC Specs,"Sheikh Zayed Road, Dubai",Dubai
19497,16,229000,Mercedes-Benz,A-Class,"MERCEDES AMG A-35 2023, UNDER WARRANTY, AND FREE REGISTRATION",2023,2798,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
19498,19,89000,Mercedes-Benz,C-Class,C63s 2015 GCC V8 BITURBO // ACCIDENTS FREE // ORIGINAL PAINT,2015,170000,Left Hand,GCC Specs,"Saif Zone (Sharjah International Airport Free Zone), Sharjah",Sharjah
19499,19,89000,Mercedes-Benz,GLC,GLC-300 US 2019 (BODY KIT AMG63) // ACCIDENTS FREE // IN PERFECT CONDITION,2019,90000,Left Hand,American Specs,"Saif Zone (Sharjah International Airport Free Zone), Sharjah",Sharjah
19500,18,219000,Mercedes-Benz,A-Class,"2023 Mercedes A35 AMG, 2028 Mercedes Warranty, Aero Kit, Low KMs, GCC",2023,11236,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
19501,15,448000,Mercedes-Benz,G-Class,2019 I G500 AMG I AMG Line I 360 I Sunroof I Night Package I Beige Interior I Accident FREE,2019,58000,Left Hand,European Specs,"Ras Al Khor, Dubai",Dubai
19502,6,43000,Mercedes-Benz,CLS-Class,Cls 350 luxury Top of the range,2013,94000,Left Hand,Korean Specs,"Mohammed Bin Zayed City, Abu Dhabi",Abu Dhabi
19503,8,119000,Mercedes-Benz,C-Class,Ø£Ø¨ÙˆØ¸Ø¨ÙŠ,2019,162000,Left Hand,GCC Specs,Abu Dhabi,Abu Dhabi
19504,10,470000,Mercedes-Benz,E-Class,Mercedes E63S 1/999 | Final Edition | 2023 | NEW,2023,5300,Left Hand,GCC Specs,"Meydan City, Dubai",Dubai
19505,10,180000,Mercedes-Benz,E-Class,E 500 BRABUS,1995,130000,Left Hand,European Specs,Abu Dhabi,Abu Dhabi
19506,18,220000,Mercedes-Benz,S-Class,Mercedes S 450 2020 gcc Body kit AMG V6 full option Free accident very good condition warranty from,2020,110000,Left Hand,GCC Specs,"Saif Zone (Sharjah International Airport Free Zone), Sharjah",Sharjah
19507,7,18000,Mercedes-Benz,CL-Class,CL-500 Japanese import,2004,150000,Left Hand,Japanese Specs,"Dubai Industrial City, Dubai",Dubai
19508,16,69000,Mercedes-Benz,C-Class,Mercedes-Benz C-Class C 300 2017 Black 2.0L KIT 63 BEST OFFER 74000 AED,2017,76000,Left Hand,American Specs,"Saif Zone (Sharjah International Airport Free Zone), Sharjah",Sharjah
19509,16,525000,Mercedes-Benz,S-Class,"2022 Mercedes Benz S500 AMG 4MATIC, Warranty, Service History, Fully Loaded, Low Kms, GCC",2022,2743,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
19510,13,219000,Mercedes-Benz,CLA,Mercedes CLA250 2024 2.0T Gcc 5 Year warranty,2024,0,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
19511,9,129000,Mercedes-Benz,C-Class,Mercedes C200 AMG Gcc panoramic Full service 2018,2018,68000,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
19512,5,210000,Mercedes-Benz,E-Class,Mercedes E200,2021,40000,Left Hand,European Specs,Dubai,Dubai
19513,9,96000,Mercedes-Benz,GLA,MERCEDES GLA 250 AMG PACK,2021,45000,Left Hand,American Specs,"Arjan, Dubai",Dubai
19514,13,175000,Mercedes-Benz,S-Class,Abu Dhabi Mohamed bin zayed city 12,2016,118000,Left Hand,GCC Specs,Abu Dhabi,Abu Dhabi
19515,12,23500,Mercedes-Benz,S-Class,Mercedes-Benz S class S 350 GCC 2008,2008,110000,Left Hand,GCC Specs,"Industrial Area, Sharjah",Sharjah
19516,18,55000,Mercedes-Benz,M-Class,"GCC , ML400 AMG, No paint full option",2015,150000,Left Hand,GCC Specs,"Mirdif, Dubai",Dubai
19517,14,107000,Mercedes-Benz,C-Class,Mercedes C 300 Model 2021,2021,25000,Left Hand,American Specs,"Al Warqaa, Dubai",Dubai
19518,7,48000,Mercedes-Benz,CLS-Class,CLS 550 2012 with 63 AMG body kit,2012,240000,Left Hand,American Specs,"Al Bateen, Abu Dhabi",Abu Dhabi
19519,16,635000,Mercedes-Benz,SL-Class,2023 sl63 AMG,2023,6700,Left Hand,European Specs,Dubai,Dubai
19520,15,109000,Mercedes-Benz,E-Class,E 300 Model 2019 (kit 2023 E63 AMG),2019,94000,Left Hand,American Specs,"Al Warqaa, Dubai",Dubai
19521,9,38000,Mercedes-Benz,E-Class,Mercedes Benz E300 Avantgrade 2012 GCC Specs (Original Paint / Accident Free / Panoramic Sunroof),2012,148000,Left Hand,GCC Specs,"International City, Dubai",Dubai
19522,12,170000,Mercedes-Benz,Viano,Mercedes viano full upgrade Mayback 2023,2013,182118,Left Hand,European Specs,Dubai,Dubai
19523,12,150000,Mercedes-Benz,S-Class,Mercedes full upgrade maybac,2015,135324,Left Hand,American Specs,Dubai,Dubai
19524,11,64000,Mercedes-Benz,CLA,MERCEDES CLA250 2018 FREE ACCIDENT ORIGINAL PAINT LOW MILEAGE VERY GOOD CONDITION,2018,55000,Left Hand,American Specs,"Al Awir, Dubai",Dubai
19525,16,26000,Mercedes-Benz,C-Class Coupe,Mercedes C250 2013 Clean Title Lady Driven Immaculate Condition,2013,129797,Left Hand,American Specs,"Dubailand, Dubai",Dubai
19526,12,35000,Mercedes-Benz,S-Class,Mercedes S 550 japan new import,2006,157000,Left Hand,Japanese Specs,"Al Twar, Dubai",Dubai
19527,9,65000,Mercedes-Benz,M-Class,Mercedes ML350,2013,121200,Left Hand,GCC Specs,"Al Raha Beach, Abu Dhabi",Abu Dhabi
19528,11,82000,Mercedes-Benz,Viano,Super Clean Mercedes Viano,2015,172000,Left Hand,GCC Specs,"The Springs, Dubai",Dubai
19529,17,570000,Mercedes-Benz,G-Class,Mercedes Benz,2019,76000,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
19530,15,139000,Mercedes-Benz,GLA,Mercedes Benz GLA,2020,40000,Left Hand,European Specs,"Al Quoz, Dubai",Dubai
19531,19,320000,Mercedes-Benz,AMG,Mercedes Benz,2022,13000,Left Hand,American Specs,"Al Quoz, Dubai",Dubai
19532,19,159000,Mercedes-Benz,E-Class Coupe,Ù…Ø±Ø³ÙŠØ¯Ø³ Ø§ÙŠ 200 2019 MERCEDES E 200,2019,95000,Left Hand,GCC Specs,"Al Awir, Dubai",Dubai
19533,19,137000,Mercedes-Benz,C-Class,Ù…Ø±Ø³ÙŠØ¯Ø³ Ø³ÙŠ 200 2021 MERCEDES C 200,2021,73000,Left Hand,GCC Specs,"Al Awir, Dubai",Dubai
19534,18,215000,Mercedes-Benz,A-Class,Ù…Ø±Ø³ÙŠØ¯Ø³ Ø§ÙŠ 45 Ø§Ø³ 2021 MERCEDES A 45s,2021,55000,Left Hand,GCC Specs,"Al Awir, Dubai",Dubai
19535,14,95000,Mercedes-Benz,C-Class Coupe,Ù…Ø±Ø³ÙŠØ¯Ø³ Ø³ÙŠ 250 ÙƒÙˆØ¨ÙŠÙ‡ 2018 MERCEDES C250 COUPE,2018,87000,Left Hand,GCC Specs,"Al Awir, Dubai",Dubai
19536,13,38000,Mercedes-Benz,C-Class,Mercedes C200 2015 USA in excellent condition,2015,195000,Left Hand,American Specs,"Saif Zone (Sharjah International Airport Free Zone), Sharjah",Sharjah
19537,13,123000,Mercedes-Benz,E-Class Coupe,Uniqe e coupe for sell,2018,105000,Left Hand,American Specs,"Jumeirah Village Circle (JVC), Dubai",Dubai
19538,8,44000,Mercedes-Benz,E-Class,Ù…Ø±Ø³ÙŠØ¯Ø³ E350 2014 ØµØ¨Øº ÙˆÙƒØ§Ù„Ø©,2014,240000,Left Hand,American Specs,Al Ain,Al Ain
19539,20,115000,Mercedes-Benz,E-Class,Mercedes-Benz E 300 2020,2020,22200,Left Hand,Korean Specs,"Al Mamzar, Dubai",Dubai
19540,11,859000,Mercedes-Benz,G-Class,2022 MERCEDES BENZ AMG G63 NIGHT PACKAGE / WARRANTY AND SERVICE CONTRACT / GCC SPECIFICATION,2022,8900,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
19541,9,265000,Mercedes-Benz,EQC,2021 MERCEDES BENZ EQC400 / WARRANTY / GCC SPECIFICATION,2021,43000,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
19542,11,235000,Mercedes-Benz,S-Class,2016 Mercedes Benz S500 Maybach / European Specification,2016,84500,Left Hand,European Specs,"Ras Al Khor, Dubai",Dubai
19543,13,1550000,Mercedes-Benz,G-Class,2024 Mercedes Benz G63 AMG 4*4 Squared / European Specification,2024,0,Left Hand,European Specs,"Dubai Marina, Dubai",Dubai
19544,9,445000,Mercedes-Benz,S-Class,2018 Mercedes Benz S63 AMG / GCC Specification,2018,29800,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
19545,12,950000,Mercedes-Benz,GLS-Class,2023 Mercedes Benz GLS 600 Maybach / European Specification,2023,0,Left Hand,European Specs,"Ras Al Khor, Dubai",Dubai
19546,6,199000,Mercedes-Benz,A-Class,Mercedes Benz A35 AMG 2023 URGENT SALE,2023,3500,Left Hand,GCC Specs,"Dubai Marina, Dubai",Dubai
19547,11,985000,Mercedes-Benz,G-Class,"2023 AMG G63, Double Night, PPF Black Matt with 5 years service warranty",2023,1990,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
19548,5,16000,Mercedes-Benz,E-Class,Mercedes Benz E280 Urgent Sale Good Condition,2007,247105,Left Hand,GCC Specs,"Zayed City, Abu Dhabi",Abu Dhabi
19549,12,42000,Mercedes-Benz,CLA,Mercedes CLA 250,2014,100000,Left Hand,American Specs,"Al Hamriyah, Sharjah",Sharjah
19550,10,110000,Mercedes-Benz,E-Class Coupe,2018 Mercedes E400 AMG with Low km,2018,47000,Left Hand,American Specs,"Dubai Sports City, Dubai",Dubai
19551,11,169000,Mercedes-Benz,V-Class,Mercedes-Benz V250 model 2019 GCC,2019,170000,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
19552,16,39000,Mercedes-Benz,S-Class,MERCEDES S550 2008 ONLY 39000,2008,112000,Left Hand,American Specs,"Al Seer, Ras Al Khaimah",Ras Al Khaimah
19553,15,155000,Mercedes-Benz,E-Class,MERCEDES E300e 4MATIC HYBRID - 2021 - JAPANESE - 3035 AED/MONTHLY - 1 YEAR WARRANTY AVAILABLE,2021,12986,Left Hand,Japanese Specs,"Ras Al Khor, Dubai",Dubai
19554,14,47000,Mercedes-Benz,C-Class,MERCEDES C200 - 2015 - GCC - 4055 AED/MONTHLY - 1 YEAR WARRANTY COVERS MOST CRITICAL PARTS,2015,244490,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
19555,12,250000,Mercedes-Benz,G-Class,Dubai falcon city,2018,245000,Left Hand,GCC Specs,"Falcon City of Wonders, Dubai",Dubai
19556,9,58000,Mercedes-Benz,CL-Class,Mercedes CLA 250 4Matic AMG Kit GCC specs (2015) Best Condition,2015,179000,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
19557,20,1035000,Mercedes-Benz,G-Class,MERCEDES G63 AMG - 2024 - DOUBLE NIGHT PACKAGE - GARGASH WARRANTY AND SERVICE CONTRACT,2024,1000,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
19558,8,109990,Mercedes-Benz,CLS-Class,Mercedes-Benz CLS 550 AMG - V8 4.7 Biturbo - Like New - Excellent Condition,2015,55000,Left Hand,Japanese Specs,"Dubai Creek Harbour, Dubai",Dubai
19559,17,358000,Mercedes-Benz,GLE Coupe,MERCEDES BENZ GLE53 AMG COUPE GCC SERVICE HISTORY AND WARRANTY,2020,51000,Left Hand,GCC Specs,"Dubailand, Dubai",Dubai
19560,14,155000,Mercedes-Benz,S-Class,Mercedes s400 2018 japan import,2018,39800,Left Hand,Japanese Specs,"Al Qusais, Dubai",Dubai
19561,10,120000,Mercedes-Benz,GLB,Mercedes Benz GLB 250,2022,38000,Left Hand,American Specs,"Dubai Marina, Dubai",Dubai
19562,11,430000,Mercedes-Benz,190,Mercedes Benz 190SL,1956,93700,Left Hand,American Specs,Dubai,Dubai
19563,12,615000,Mercedes-Benz,S-Class,"MERCEDES S580 / 10,000KM / GARGASH CAR / WARRANTY N SERVICE AVAILABLE",2022,10000,Left Hand,GCC Specs,"Sheikh Zayed Road, Dubai",Dubai
19564,15,650000,Mercedes-Benz,G-Class,MERCEDES-BENZ BRABUS KIT 900 (ROCKET EDITION) / 2019 / SUNROOF with STARLIGHTS,2019,138000,Left Hand,European Specs,"Sheikh Zayed Road, Dubai",Dubai
19565,16,1395000,Mercedes-Benz,SL-Class,MERCEDES-BENZ SL63 AMG Bi-Turbo / 2022 / 3 YEARS WARRANTY N SERVICE AVAILABLE,2022,112,Left Hand,European Specs,"Sheikh Zayed Road, Dubai",Dubai
19566,11,2350000,Mercedes-Benz,G-Class,MERCEDES G-CLASS P820 / ORIGINAL MANSORY / 2023 / 41KM / FORGED CARBON FIBER,2023,41,Left Hand,European Specs,"Sheikh Zayed Road, Dubai",Dubai
19567,16,55000,Mercedes-Benz,C-Class,Mercedes Benz C300 SPORT 2017 Model Panoramic Sunroof,2017,110000,Left Hand,American Specs,Dubai,Dubai
19568,12,175000,Mercedes-Benz,C-Class Coupe,Mercedes C300 coupe-AMG KIT Under Warranty,2023,1500,Left Hand,American Specs,"Barsha Heights (Tecom), Dubai",Dubai
19569,16,145000,Mercedes-Benz,C-Class,Mercedes -Benz C63 507 GCC Rare,2014,185000,Left Hand,GCC Specs,"Mudon, Dubai",Dubai
19570,8,20000,Mercedes-Benz,E-Class,Marcedes Benz E350,2006,103140,Left Hand,Japanese Specs,"International City, Dubai",Dubai
19571,11,160000,Mercedes-Benz,C-Class Coupe,GCC Spec Mercedes C200 under warranty accident free,2020,35000,Left Hand,GCC Specs,"Meydan City, Dubai",Dubai
19572,11,95000,Mercedes-Benz,A200,Clean,2020,69000,Left Hand,American Specs,"Al Garhoud, Dubai",Dubai
19573,18,260000,Mercedes-Benz,GLE-Class,Mercedes GLE 53 AMG 2021 FULL OPTION,2021,9400,Left Hand,American Specs,Dubai,Dubai
19574,11,2350000,Mercedes-Benz,G-Class,MERCEDES G-CLASS P820 / ORIGINAL MANSORY / 2023 / 41KM / FORGED CARBON FIBER,2023,41,Left Hand,European Specs,"Sheikh Zayed Road, Dubai",Dubai
19575,16,55000,Mercedes-Benz,C-Class,Mercedes Benz C300 SPORT 2017 Model Panoramic Sunroof,2017,110000,Left Hand,American Specs,Dubai,Dubai
19576,12,175000,Mercedes-Benz,C-Class Coupe,Mercedes C300 coupe-AMG KIT Under Warranty,2023,1500,Left Hand,American Specs,"Barsha Heights (Tecom), Dubai",Dubai
19577,16,145000,Mercedes-Benz,C-Class,Mercedes -Benz C63 507 GCC Rare,2014,185000,Left Hand,GCC Specs,"Mudon, Dubai",Dubai
19578,8,20000,Mercedes-Benz,E-Class,Marcedes Benz E350,2006,103140,Left Hand,Japanese Specs,"International City, Dubai",Dubai
19579,11,160000,Mercedes-Benz,C-Class Coupe,GCC Spec Mercedes C200 under warranty accident free,2020,35000,Left Hand,GCC Specs,"Meydan City, Dubai",Dubai
19580,11,95000,Mercedes-Benz,A200,Clean,2020,69000,Left Hand,American Specs,"Al Garhoud, Dubai",Dubai
19581,18,260000,Mercedes-Benz,GLE-Class,Mercedes GLE 53 AMG 2021 FULL OPTION,2021,9400,Left Hand,American Specs,Dubai,Dubai
19582,17,279000,Mercedes-Benz,C-Class,MERCEDES C63S MODEL 2020 KM 55000,2020,55000,Left Hand,Other,"Ras Al Khor, Dubai",Dubai
19583,11,79000,Mercedes-Benz,C-Class,C300 2019 for sale,2019,103000,Left Hand,American Specs,"Al Mamzar, Dubai",Dubai
