id,num_of_pic,price,brand,model,title,year,km,steering_side,region_specs,location,location_cleaned
1,17,159000,Ford,F-Series Pickup,SVT Raptor 2018 F150 under service contract Feb 2026,2018,107000,Left Hand,GCC Specs,"Sheikh Zayed Road, Dubai",Dubai
2,18,276000,Ford,Mustang,"Ford Mustang Shelby, original, American import, only 2000 km, 2 year warranty",2021,2000,Left Hand,American Specs,"Saif Zone (Sharjah International Airport Free Zone), Sharjah",Sharjah
3,19,62500,Ford,Edge,"Black Package â€¢ 1,295x48PM â€¢ 2016 Ford Edge EcoBoost SE 2.0 250bhp â€¢ Full Service History Ford",2016,79000,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
4,19,169000,Ford,Mustang,"FORD WARRANTY â€¢ 2,660x60PM â€¢ 2020 Ford Mustang GT V8 450 BHP â€¢ Ford Service History â€¢ GCC",2020,55000,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
5,19,209000,Ford,Mustang,"Ford Warranty â€¢ 3,290x60PM â€¢ 2023 Ford Mustang GT V8 450 BHP â€¢ Ford Service Contract â€¢ GCC",2023,29000,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
6,15,29900,Ford,Focus,GCC / 2018 / HATCHBACK + BLUETOOTH SYSTEM + POWER LOCKS + / UNLIMITED MILEAGE WARRANTY,2018,94075,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
7,19,26800,Ford,Focus,GCC / 2017 / SEDAN + NAVIGATION + CAMERA + BLUETOOTH SYSTEM + POWER LOCKS / UNLIMITED KMS WARRANTY,2017,173047,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
8,14,135000,Ford,F-Series Pickup,RECOVERY + FULL DOWN PLATFORM FROM P.M / 2018 / GCC / F550 / AUTOMATIC GEAR-BOX + DIESEL + 3 SEATERS,2018,376047,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
9,14,129000,Ford,Mustang,DIGITAL CLUSTER/RECARO SEATS/ACTIVE EXHAUST/FULL OPTION,2022,34600,Left Hand,American Specs,"Dubai Marina, Dubai",Dubai
10,15,212000,Ford,F-Series Pickup,AED3221/month | 2021 Ford F 150 3.5L | Warranty | Service | GCC Specifications | Ref#137079,2021,42053,Left Hand,GCC Specs,"Arabian Ranches, Dubai",Dubai
11,20,104990,Ford,Territory,"AED 1,651 PM â€¢ TERRITORY â€¢ FORD WARRANTY AND SERVICE CONTRACT UNTIL 2027",2023,24000,Left Hand,GCC Specs,"Dubai Investment Park (DIP), Dubai",Dubai
12,20,109990,Ford,Explorer,"AED 1,730 PM â€¢ EXPLORER LIMITED 3.5L TURBO CHARGED â€¢ FULL SERVICE HISTORY",2018,103000,Left Hand,GCC Specs,"Dubai Investment Park (DIP), Dubai",Dubai
13,1,114999,Ford,Mustang,"2,252 P.M | Mustang GT | 0% Downpayment | Well Maintained",2017,99000,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
14,18,89500,Ford,Expedition,GCC / 2018 / XLT + 4WD + LEATHER SEATS + KEYLESS START + 8 SEATERS + CAMERA / UNLIMITED KMS WARRANTY,2018,158074,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
15,20,39900,Ford,Escape,2018 / GCC / NAVIGATION + CAMERA + PREMIUM ALLOY WHEELS / UNLIMITED MILEAGE WARRANTY,2018,103704,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
16,20,39900,Ford,Escape,2019 / GCC / NAVIGATION + CAMERA + PREMIUM ALLOY WHEELS / UNLIMITED MILEAGE WARRANTY,2019,157950,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
17,20,34900,Ford,Ecosport,GCC / 2019 / LIMITED! + NAVIGATION + CAMERA + APPLE CAR-PLAY / UNLIMITED MILEAGE WARRANTY,2019,113075,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
18,20,18900,Ford,Figo,SEDAN + TREND + MP3 BLUETOOTH + CENTRAL LOCK / GCC / 2019 / UNLIMITED MILEAGE WARRANTY,2019,98075,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
19,19,21900,Ford,Figo,SEDAN + TREND + MP3 BLUETOOTH + CENTRAL LOCK / GCC / 2019 / UNLIMITED MILEAGE WARRANTY,2019,77405,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
20,20,41500,Ford,Explorer,GCC / 2015 / XLT + 4WD + SUNROOF + LEATHER SEATS + NAVIGATION + CAMERA / UNLIMITED MILEAGE WARRANT,2015,198502,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
21,13,82999,Ford,Mustang,//MUSTANG //CONVERTIBLE /BEMIUM/2022//SPECIAL PRICE,2022,30000,Left Hand,American Specs,"Al Mamzar, Dubai",Dubai
22,14,89000,Ford,Mustang,{MONTHLY 1420/-} BORLAEXHAUST/SHELBYKIT/DIGITALCLUSTER/MEMORYSEATS/CUSTOMRIMS,2020,46700,Left Hand,American Specs,"Downtown Dubai, Dubai",Dubai
23,20,19800,Ford,Figo,HATCHBACK + TREND + MP3 BLUETOOTH + CENTRAL LOCK / GCC / 2019 / UNLIMITED MILEAGE WARRANTY,2019,105704,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
24,20,18900,Ford,Figo,SEDAN + TREND + MP3 BLUETOOTH + CENTRAL LOCK / GCC / 2019 / UNLIMITED MILEAGE WARRANTY,2019,108974,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
25,19,29900,Ford,Focus,GCC / 2018 / HATCHBACK + NAVIGATION + CAMERA + APPLE CARPLAY / UNLIMITED MILEAGE WARRANTY,2018,98021,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
26,20,18500,Ford,Figo,HATCHBACK + TREND + MP3 BLUETOOTH + CENTRAL LOCK / GCC / 2019 / UNLIMITED MILEAGE WARRANTY,2019,138165,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
27,15,179999,Ford,Mustang,"3,525 P.M | Mustang GT 55 Years | 0% Downpayment | Full Agency History!",2020,36000,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
28,13,78500,Ford,Mustang,{MONTHLY 1240/-} LOWKM/ECOBOOST/BLINDSPOT/ADAPTIVECRUISECONTROL/TOPCONDITION,2021,18800,Left Hand,American Specs,"Jumeirah Lake Towers (JLT), Dubai",Dubai
29,19,75000,Ford,Expedition,2018,2018,190000,Left Hand,GCC Specs,"Nad Al Hamar, Dubai",Dubai
30,20,74500,Ford,Explorer,GCC / 2019 / XLT + LEATHER SEATS + 7 SEATERS + NAVIGATION + CAMERA / UNLIMITED MILEAGE WARRANTY,2019,101780,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
31,17,34800,Ford,Focus,2018 / GCC / HATCHBACK + LEATHER SEATS + NAVIGATION + CAMERA + PREMIUM ALLOY WHEELS / WARRANTY !!,2018,112147,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
32,20,44500,Ford,Transit,GCC / 2016 / AUTOMATIC GEAR-BOX + REAR CAMERA + PARKING SENSORS + BACK COVER/ UNLIMITED KMS WARRANTY,2016,177249,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
33,19,31900,Ford,Ranger,PETROL + 4WD + MANUAL GEAR-BOX + BLUETOOTH + USB / GCC / 2017 / UNLIMITED MILEAGE WARRANTY,2017,149047,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
34,19,33900,Ford,Ranger,PETROL + 4WD + MANUAL GEAR-BOX + BLUETOOTH + USB / GCC / 2018 / UNLIMITED MILEAGE WARRANTY,2018,157624,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
35,18,38900,Ford,Ranger,DIESEL + 4WD + MANUAL GEAR-BOX + BLUETOOTH + USB / GCC / 2018 / UNLIMITED MILEAGE WARRANTY,2018,110678,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
36,18,88000,Ford,Mustang,Mustang under warranty and contract service from Al tayer agency,2017,112000,Left Hand,GCC Specs,"Al Reem Island, Abu Dhabi",Abu Dhabi
37,18,4499999,Ford,GT,2022 Ford GT Studio Collection | 1 of 20 | FM-INV.LU-1001,2022,0,Left Hand,European Specs,"Al Quoz, Dubai",Dubai
38,12,89000,Ford,Mustang,ÙÙˆØ±Ø¯ Ù…ÙˆØ³ØªØ§Ù†Ø¬ GT PREMIUM V8 ÙƒØª Ø´ÙŠÙ„Ø¨ÙŠ Ø¨Ù„ ÙƒØ§Ù…Ù„ ØŒ Ø¹Ø¯Ø§Ø¯ Ø¯ÙŠØ¬ØªØ§Ù„ ÙÙˆÙ„ Ø§Ø¨Ø´Ù† Ù‚Ù…Ø© ÙÙŠ Ø§Ù„Ù†Ø¸Ø§ÙØ©,2018,32000,Left Hand,American Specs,"Saif Zone (Sharjah International Airport Free Zone), Sharjah",Sharjah
39,20,32800,Ford,Focus,GCC / 2018 / HATCHBACK + NAVIGATION + CAMERA + APPLE CARPLAY / UNLIMITED MILEAGE WARRANTY,2018,81057,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
40,19,28800,Ford,Focus,GCC / 2018 / SEDAN + NAVIGATION + CAMERA + BLUETOOTH SYSTEM + POWER LOCKS / UNLIMITED KMS WARRANTY,2018,188075,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
41,16,195000,Ford,F-Series Pickup,F-150 Platinum - PowerBoost - Panoramic Roof - 360 Cameras - Electric Side Steps - Original Paint,2023,26000,Left Hand,Canadian Specs,"Ras Al Khor, Dubai",Dubai
42,18,119900,Ford,Explorer,"Ford Explorer || Standard || AED 1,810 /PM || 1 YEAR WARRANTY",2021,57070,Left Hand,GCC Specs,"Dubai Marina, Dubai",Dubai
43,20,38800,Ford,Escape,2018 / GCC / NAVIGATION + CAMERA + PREMIUM ALLOY WHEELS / UNLIMITED MILEAGE WARRANTY,2018,165685,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
44,15,52000,Ford,Escape,"Ford Escape 2018, Gcc, 4WD, Full Option, Titanium, Bank Loan @ 0% Down Payment, 1040/Month",2018,89000,Left Hand,GCC Specs,"International City, Dubai",Dubai
45,12,72000,Ford,Explorer,2021 ÙÙˆØ±Ø¯ Ø§ÙƒØ³Ø¨Ù„ÙˆØ±Ø± ÙÙˆØ± ÙˆÙŠÙ„ Ø¨Ø­Ø§Ù„Ø© Ù…Ù…ØªØ§Ø²Ø©,2021,31000,Left Hand,American Specs,"Al Jurf, Ajman",Ajman
46,17,66800,Ford,Explorer,GCC / 2017 / XLT + 4WD + LEATHER SEATS + 7 SEATER + NAVIGATION + CAMERA / UNLIMITED MILEAGE WARRANTY,2017,102780,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
47,18,79500,Ford,Explorer,GCC / 2019 / XLT + 4WD + LEATHER SEATS + 7 SEATER + NAVIGATION + CAMERA / UNLIMITED MILEAGE WARRANTY,2019,99078,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
48,20,42500,Ford,Explorer,GCC / 2015 / XLT + 4WD + SUNROOF + LEATHER SEATS + NAVIGATION + CAMERA / UNLIMITED MILEAGE WARRANTY,2015,119075,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
49,20,18500,Ford,Figo,SEDAN + TREND + MP3 BLUETOOTH + CENTRAL LOCK / GCC / 2019 / UNLIMITED MILEAGE WARRANTY,2019,155717,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
50,20,41500,Ford,Transit,GCC / 2019 / DIESEL + CHILLER + + MANUAL GEAR-BOX + BLUETOOTH SYSTEM / UNLIMITED MILEAGE WARRANTY,2019,184282,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
51,20,21500,Ford,Figo,SEDAN + TREND + MP3 BLUETOOTH + CENTRAL LOCK / GCC / 2019 / UNLIMITED MILEAGE WARRANTY,2019,85132,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
52,20,21500,Ford,Figo,SEDAN + TREND + MP3 BLUETOOTH + CENTRAL LOCK / GCC / 2019 / UNLIMITED MILEAGE WARRANTY,2019,88142,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
53,20,32500,Ford,Focus,GCC / 2018 / HATCHBACK + NAVIGATION + CAMERA + APPLE CARPLAY / UNLIMITED MILEAGE WARRANTY,2018,87414,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
54,20,24900,Ford,Focus,GCC / 2018 / HATCHBACK + NAVIGATION + CAMERA + APPLE CARPLAY / UNLIMITED MILEAGE WARRANTY,2018,159487,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
55,20,28900,Ford,Focus,GCC / 2018 / HATCHBACK + NAVIGATION + CAMERA + APPLE CARPLAY / UNLIMITED MILEAGE WARRANTY,2018,113768,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
56,20,18800,Ford,Figo,SEDAN + TREND + MP3 BLUETOOTH + CENTRAL LOCK / GCC / 2019 / UNLIMITED MILEAGE WARRANTY,2019,128154,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
57,20,18500,Ford,Figo,SEDAN + TREND + MP3 BLUETOOTH + CENTRAL LOCK / GCC / 2019 / UNLIMITED MILEAGE WARRANTY,2019,148092,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
58,17,27900,Ford,Focus,GCC / 2018 / HATCHBACK + BLUETOOTH SYSTEM + POWER LOCKS + / UNLIMITED MILEAGE WARRANTY,2018,144071,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
59,20,37500,Ford,Transit,GCC / 2020 / DIESEL + MANUAL GEAR-BOX + BLUETOOTH SYSTEM + POWER LOCKS / UNLIMITED MILEAGE WARRANTY,2019,139780,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
60,19,38000,Ford,Edge,2014 A new Edge LTD 3.5-litre V6 Only 89000Kms Full Ford SERVICE in immaculate condition.,2014,89000,Left Hand,GCC Specs,"Dubai Festival City, Dubai",Dubai
61,17,77777,Ford,Mustang,MUSTANG MACH1 KIT 2023--ATTRACTIVE COLOR**VERY GOOD CONDITION,2021,28400,Left Hand,American Specs,"Al Mamzar, Dubai",Dubai
62,20,41000,Ford,Explorer,Ford Explorer 2015 No Accident Full Option 7 Seats,2015,114000,Left Hand,Korean Specs,"Saif Zone (Sharjah International Airport Free Zone), Sharjah",Sharjah
63,20,30900,Ford,Ranger,PETROL + MANUAL GEAR-BOX + HIGH + BLUETOOTH + USB + BACK COVER / GCC / 2017 / UNLIMITED KMS WARRANTY,2017,186710,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
64,13,124900,Ford,Mustang,"AED 1,915pm â€¢ 0% Downpayment â€¢ GT California Special â€¢ Ford Service Contract 2026 â€¢ 2 Year Warranty",2017,97601,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
65,20,19000,Ford,Edge,FORD EDGE 3.5 V6 MODEL 2013 GCC SPECS REF.8514,2013,240000,Left Hand,GCC Specs,"Al Nahda (Dubai), Dubai",Dubai
66,12,83000,Ford,Mustang,Mustang GT V8 5.0L 2018/Original AirBags/Excellent Condition/Leather Interior,2018,65890,Left Hand,American Specs,"Dubai Marina, Dubai",Dubai
67,20,72000,Ford,F-Series Pickup,Ford F-150 2018 Eco Boost Gray Double Cabin Clean Car,2018,239000,Left Hand,Other,"Al Qusais, Dubai",Dubai
68,19,34500,Ford,Ecosport,Ford Ecosport trend GCC accident free,2018,93000,Left Hand,GCC Specs,"Al Nahda (Dubai), Dubai",Dubai
69,9,78000,Ford,Explorer,Ford explorer 2020,2020,60465,Left Hand,Korean Specs,"Dubai Marina, Dubai",Dubai
70,13,75000,Ford,Mustang,Ford Mustang V8 GT gcc first owner with service history 1 year warranty no paint Accident,2015,105000,Left Hand,GCC Specs,"Dubai Marina, Dubai",Dubai
71,14,70000,Ford,Edge,AED1064/month | 2018 Ford Edge SEL 2.0L | GCC Specifications | Ref#153825,2018,54948,Left Hand,GCC Specs,"Mudon, Dubai",Dubai
72,5,45000,Ford,Mustang,Gcc Spec Mustang 3.7 ltr - Al Tayer maintained,2016,195000,Left Hand,GCC Specs,"Discovery Gardens, Dubai",Dubai
73,20,26500,Ford,Fusion,Full Service History Al Tayer || No Accident || G.C.C Specs || 2016 Ford Fusion,2016,113000,Left Hand,GCC Specs,"Mirdif, Dubai",Dubai
74,15,9000,Ford,Edge,"2008 Ford Edge - GOOD Condition, Priced for Quick Sale!",2008,175000,Left Hand,GCC Specs,"Business Bay, Dubai",Dubai
75,12,13999,Ford,Figo,Ford Figo Lady Driven,2014,100000,Left Hand,GCC Specs,"Jumeirah Village Circle (JVC), Dubai",Dubai
76,13,49500,Ford,Explorer,Ford Explorer XLT,2015,105000,Left Hand,GCC Specs,Dubai,Dubai
77,9,210000,Ford,Mustang,"2022 Ford Mustang GT Premium GCC, 2027 Agency Warranty and Service Contract",2022,14700,Left Hand,GCC Specs,Dubai,Dubai
78,7,44000,Ford,Mustang,Ford Mustang Ecoboost | Clean Title | Special Color,2018,55000,Left Hand,American Specs,"Mirdif, Dubai",Dubai
79,12,28500,Ford,Ecosport,Ford Ecosport,2020,85000,Left Hand,GCC Specs,"Al Qusais, Dubai",Dubai
80,9,19500,Ford,Escape,2014 Ford Escape Agency maintained for Sale,2014,220000,Left Hand,GCC Specs,Dubai,Dubai
81,13,68997,Ford,Explorer,2020 Ford Explorer XLT- 4x4 - All Original Airbag,2020,80000,Left Hand,American Specs,"Al Mamzar, Dubai",Dubai
82,17,35000,Ford,Focus,Ford Focus ST 2015 UPGRADED,2015,192000,Left Hand,GCC Specs,"Motor City, Dubai",Dubai
83,4,12000,Ford,Figo,For immediate sale,2015,203000,Left Hand,American Specs,"Al Sarouj, Al Ain",Al Ain
84,10,45500,Ford,Mustang,2018 MUSTANG DIGITAL ODOMETER PREMIUM CONVERTIBLE AMERICAN SPECS,2018,100000,Left Hand,American Specs,"Bur Dubai, Dubai",Dubai
85,12,75000,Ford,Mustang,2019 MUSTANG G.T V8 COUPE with warranty service contract,2019,68737,Left Hand,American Specs,"Bur Dubai, Dubai",Dubai
86,12,59000,Ford,Escape,"2019 Ford Escape 2.0 L Titanium , Full options. Current mileage 106,000kms.",2019,106000,Left Hand,GCC Specs,"Mirdif, Dubai",Dubai
87,20,29000,Ford,Fusion,Ford Fusion SE GCC Fully Loaded in Amazing Condition,2014,115000,Left Hand,GCC Specs,"Al Zahiyah, Abu Dhabi",Abu Dhabi
88,17,105000,Ford,F-Series Pickup,| Ford F150 | 2020 | 5.0L V8 | 4X4 | Blind Spot Detector | Clean Condition | Standard Cabin |,2020,85000,Left Hand,American Specs,Dubai,Dubai
89,13,26000,Ford,Edge,Ford Edge Limited 2013 GCC - Full Option - Lady Used - No Accidents - Agency Maintained,2013,100000,Left Hand,GCC Specs,"Dubai Marina, Dubai",Dubai
90,8,31000,Ford,Ecosport,Titanium - Full Ford Al Tayer service history,2016,133000,Left Hand,GCC Specs,"Business Bay, Dubai",Dubai
91,18,79500,Ford,Mustang,Ford Mustang 2018 GT Premium 5.0L/Warranty,2018,81000,Left Hand,American Specs,"Al Barsha, Dubai",Dubai
92,12,88000,Ford,Mustang,{MONTHLY 1390/-} ADAPTIVE CRUISE CONTROL/PADDLESHIFTERS/CUSTOMRIMS/TOUCHSCREEN,2018,85600,Left Hand,American Specs,"Downtown Dubai, Dubai",Dubai
93,12,79000,Ford,Mustang,{MONTHLY 1250/-}SPECIAL COLOR/CUSTOM SEATS,2020,47400,Left Hand,American Specs,"Umm Suqeim, Dubai",Dubai
94,12,69500,Ford,Mustang,{MONTHLY 1100/-} ECOBOOST/CUSTOMLEATHERSEATS/TOUCHSCREEN/ADAPTIVECRUISECONTROL/PADDLESHIFTERS,2019,50500,Left Hand,American Specs,"Downtown Dubai, Dubai",Dubai
95,17,169000,Ford,F-Series Pickup,"Ford F-150 Lariat - Panoramic Roof - Leather Seats - V6 Engine - Original Paint - AED 3,223 M/P",2022,20000,Left Hand,Canadian Specs,"Ras Al Khor, Dubai",Dubai
96,11,205000,Ford,F-Series Pickup,Ford raptor 2019,2019,98000,Left Hand,GCC Specs,"Zayed City, Abu Dhabi",Abu Dhabi
97,12,33000,Ford,Ecosport,LOW MEILGE 2018 FORD ECCOSPORT TREND GCC ACCEDENT FREE ORGENAL PAINT EXCELENT COUNDTION,2018,66011,Left Hand,GCC Specs,"Deira, Dubai",Dubai
98,13,25000,Ford,Focus,AED463/month | 2016 Ford Focus Ambiente 1.5L | GCC Specifications | Ref#180896,2016,81727,Left Hand,GCC Specs,"Dubai Marina, Dubai",Dubai
99,13,116900,Ford,Mustang,AED1776/month | 2017 Ford Mustang GT California Special 5.0L | Service | GCC Specs | Ref#173691,2017,63239,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
100,15,23900,Ford,Edge,Inspected Car | 2013 Ford Edge Limited 3.5L | GCC Specifications | Ref#164827,2013,217938,Left Hand,GCC Specs,"Al Qusais, Dubai",Dubai
101,13,108000,Ford,Taurus,AED1732/month | 2023 Ford Taurus 2.0L | Warranty | Full Ford Service History | GCC | Ref#156894,2023,9670,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
102,12,22000,Ford,Figo,Inspected Car | 2018 Ford Figo Ambiente 1.5L | GCC Specifications | Ref#154765,2018,116915,Left Hand,GCC Specs,"Bur Dubai, Dubai",Dubai
103,11,38500,Ford,Focus,AED585/month | 2018 Ford Focus Ambiente 1.5L | GCC Specifications | Ref#157321,2018,46512,Left Hand,GCC Specs,"Al Furjan, Dubai",Dubai
104,11,69000,Ford,Mustang,2020 FORD MUSTANG ECOBOOST CONVERTIBLE 2.3L TWIN TURBO/ ORIGINAL AIRBAGS/ 0 DOWN PAYMENT FINANCE,2020,112000,Left Hand,American Specs,"Al Quoz, Dubai",Dubai
105,19,37000,Ford,Edge,GCC edge agency service ZERO accidents Single user,2014,112000,Left Hand,GCC Specs,"Al Manakh, Sharjah",Sharjah
106,16,165000,Ford,Mustang,FORD MUSTANG,2022,0,Left Hand,Canadian Specs,"Ras Al Khor, Dubai",Dubai
107,13,78000,Ford,Mustang,2021 Convertible Mustang Ecoboost,2021,50000,Left Hand,American Specs,"Saif Zone (Sharjah International Airport Free Zone), Sharjah",Sharjah
108,14,29900,Ford,Escort,AED454/month | 2020 Ford Escort 1.5L | GCC Specifications | Ref#184919,2020,133869,Left Hand,GCC Specs,"Dubai Silicon Oasis (DSO), Dubai",Dubai
109,8,60000,Ford,Mustang,Ford Mustang EcoBoost,2016,48000,Left Hand,GCC Specs,"Jebel Ali, Dubai",Dubai
110,5,55000,Ford,F-Series Pickup,Ford F-150 SVT Lightning,2001,270000,Left Hand,American Specs,"Al Safa, Dubai",Dubai
111,18,45000,Ford,Explorer,Ford Explorer Limited,2014,180000,Left Hand,GCC Specs,"Al Garhoud, Dubai",Dubai
112,10,56000,Ford,Mustang,2020 FORD MUSTANG CONVERTIBLE,2020,18000,Left Hand,American Specs,Dubai,Dubai
113,7,27000,Ford,Figo,FORD FIGO 1.4 (2018),2018,52000,Left Hand,GCC Specs,Abu Dhabi,Abu Dhabi
114,16,79000,Ford,Explorer,"Explorer 2017 Full Options, GCC, 4WD, Service Contrac, Full Service History, Original Paint",2017,139000,Left Hand,GCC Specs,"Tilal Al Ghaf, Dubai",Dubai
115,20,44000,Ford,Escape,Ford Escape 2019 S,2019,123000,Left Hand,GCC Specs,"Ras Al Khor, Dubai",Dubai
116,10,18500,Ford,Figo,Ford Figo 2012 !! GCC !! No Accidents !! Low milage !!,2012,80000,Left Hand,GCC Specs,"Al Barsha, Dubai",Dubai
117,7,14000,Ford,Figo,Ford Figo 2012 !! Best Fuel saver !! Super clean Interior !!,2012,140000,Left Hand,GCC Specs,"Al Barsha, Dubai",Dubai
118,8,12000,Ford,Focus,"Ford Focus 2016, GCC Spec. 272000 KM",2016,272000,Left Hand,GCC Specs,"Dubai Media City, Dubai",Dubai
119,7,18500,Ford,Explorer,Ø§Ø¨Ùˆ Ø¸Ø¨ÙŠ ØŒ Ù…Ø¯ÙŠÙ†Ø© Ø§Ù„Ø±ÙŠØ§Ø¶,2006,87000,Left Hand,Japanese Specs,"Madinat Al Riyadh, Abu Dhabi",Abu Dhabi
120,12,34900,Ford,Ecosport,AED530/month | 2018 Ford Ecosport Ambiente 1.5L | GCC Specifications | Ref#184395,2018,83722,Left Hand,GCC Specs,"Dubai Harbour, Dubai",Dubai
121,20,55000,Ford,Explorer,FORD EXPLORER LIMITED 4WD - AMERICAN SPECS - FULL SERVICE DONE - WARRANTY ENGINE GEAR CHASISS,2018,106781,Left Hand,American Specs,"Dubai Marina, Dubai",Dubai
122,8,32000,Ford,Explorer,GCC XLT 7 seaters 6 cylinders not negotiable,2015,220000,Left Hand,GCC Specs,"Deira, Dubai",Dubai
123,12,63000,Ford,Mustang,*DIGITAL CLUSTER*Mustang Eco-Boost V4 2.3L Turbo 2018/Original AiBags/FullOption/Excellent Condition,2018,91700,Left Hand,American Specs,"Dubai Marina, Dubai",Dubai
124,14,84999,Ford,Edge,"1,665 P.M | Edge SEL Ecoboost | 0% Downpayment | Agency Maintained!",2020,81000,Left Hand,GCC Specs,"Al Quoz, Dubai",Dubai
125,17,69000,Ford,Explorer,"Ford Explorer 2017 XLT, Panoramic, GCC, 4WD, Warranty, No Accidents, Full Service History,",2017,135000,Left Hand,GCC Specs,"Jumeirah Village Circle (JVC), Dubai",Dubai
126,15,14500,Ford,Fusion,Ford fusion 2011 ..gcc ..full option..sunroof ..leather ..nice car,2011,200000,Left Hand,GCC Specs,"Al Twar, Dubai",Dubai
127,10,24000,Ford,Edge,Ford Edge Limited in excellent condition with full agency service history,2012,230000,Left Hand,GCC Specs,Dubai,Dubai
128,12,20900,Ford,Edge,GCC SPEC ~ F-EDGE | 2013 | MODEL | MID OPTION,2013,209250,Left Hand,GCC Specs,"Muhaisnah, Dubai",Dubai
129,20,154900,Ford,Edge,2022 Ford Edge ST â€¢ Flood free â€¢ Manufacturer warranty till 15-Jun-2027,2022,40332,Left Hand,GCC Specs,"Jebel Ali, Dubai",Dubai
130,6,8000,Ford,Fiesta,Ford Fiesta,2012,228000,Left Hand,European Specs,"Dubailand, Dubai",Dubai
131,16,119500,Ford,Mustang,*2021*Premium Mustang GT V8 5.0L/Original AirBags/Very Clean Excellent Condition/Zero Downpayment,2021,43886,Left Hand,American Specs,"Jumeirah, Dubai",Dubai
132,19,22000,Ford,Ecosport,"2017 Ford Ecosport, Gcc",2017,175000,Left Hand,GCC Specs,"Business Bay, Dubai",Dubai
133,3,32500,Ford,Explorer,Ford Explorer 2013 by First Owner of the CAR,2013,262000,Left Hand,GCC Specs,Abu Dhabi,Abu Dhabi
134,15,210000,Ford,Mustang,AED3191/month | 2017 Ford Mustang Shelby GT 350 5.2L | GCC Specifications | Ref#171613,2017,36049,Left Hand,GCC Specs,"Al Qusais, Dubai",Dubai
135,18,102999,Ford,Mustang,ECO-BOOST//2021//BRIMIUM //DIGITEL CLOSTER//CLEAN TITLE Ø¨Ø¯ÙˆÙ† Ø­ÙˆØ§Ø¯Ø« ØªØ¯Ø®Ù„ Ø§Ù„Ø³Ø¹ÙˆØ¯ÙŠØ©,2021,21000,Left Hand,Korean Specs,"Dubai Marina, Dubai",Dubai
136,17,111999,Ford,Mustang,MUSTANG GT-5.0L/ATTRACTIVE COLOR//RADAR//RECARO SEATS//LOOW MILEG//AIR BAG,2022,2200,Left Hand,American Specs,"Al Mamzar, Dubai",Dubai
137,17,199000,Ford,Mustang,Mustang GT 2021 GCC warranty and service 2027,2021,39000,Left Hand,GCC Specs,"Sheikh Zayed Road, Dubai",Dubai
